time_step,lat,lon,pdop
0,-70,80,1.28588
0,-70,90,1.72116
0,-70,100,1.72322
0,-70,110,1.72754
0,-70,120,1.73402
0,-70,130,1.296
0,-70,140,1.20986
0,-70,150,1.12519
0,-70,160,1.08048
0,-70,170,1.08062
0,-70,180,1.13986
0,-60,-180,1.2009
0,-60,-170,1.30758
0,-60,-160,1.53279
0,-60,-150,1.53238
0,-60,-140,1.53461
0,-60,-130,1.53944
0,-60,-120,1.54685
0,-60,-110,2.24474
0,-60,-100,1.39701
0,-60,-90,1.38952
0,-60,-80,1.38472
0,-60,-70,1.38276
0,-60,-60,1.38367
0,-60,-50,1.38741
0,-60,-40,1.20809
0,-60,-30,1.21017
0,-60,-20,1.11041
0,-60,-10,1.11001
0,-60,0,1.30316
0,-60,10,1.30007
0,-60,20,1.2995
0,-60,30,1.30155
0,-60,40,1.30617
0,-60,50,2.05431
0,-60,60,1.73941
0,-60,70,1.73267
0,-60,80,1.72928
0,-60,90,1.7291
0,-60,100,1.73196
0,-60,110,1.73774
0,-60,120,1.31669
0,-60,130,1.17738
0,-60,140,1.25339
0,-60,150,1.39826
0,-60,160,1.26765
0,-60,170,1.19848
0,-60,180,1.2009
0,-50,-180,1.20296
0,-50,-170,1.21004
0,-50,-160,1.20712
0,-50,-150,1.394
0,-50,-140,1.39043
0,-50,-130,1.38983
0,-50,-120,1.39242
0,-50,-110,1.17037
0,-50,-100,1.27718
0,-50,-90,1.50799
0,-50,-80,1.39458
0,-50,-70,1.51591
0,-50,-60,1.94324
0,-50,-50,1.78507
0,-50,-40,1.79184
0,-50,-30,1.80387
0,-50,-20,1.44496
0,-50,-10,1.64083
0,-50,0,1.63142
0,-50,10,1.73476
0,-50,20,1.41021
0,-50,30,1.30828
0,-50,40,1.44154
0,-50,50,1.30483
0,-50,60,1.771
0,-50,70,1.76279
0,-50,80,1.75876
0,-50,90,1.75864
0,-50,100,1.76213
0,-50,110,1.76902
0,-50,120,1.32054
0,-50,130,1.17564
0,-50,140,1.39998
0,-50,150,1.3933
0,-50,160,1.26612
0,-50,170,1.26711
