time_step,lat,lon,pdop
0,-30,-180,1.52361
0,-30,-170,1.39969
0,-30,-160,1.23883
0,-30,-150,1.3237
0,-30,-140,1.48951
0,-30,-130,2.05332
0,-30,-120,2.03408
0,-30,-110,2.0247
0,-30,-100,1.34346
0,-30,-90,1.26167
0,-30,-80,1.46359
0,-30,-70,1.44709
0,-30,-60,1.44081
0,-30,-50,1.3067
0,-30,-40,1.53808
0,-30,-30,1.47386
0,-30,-20,1.48326
0,-30,-10,1.2119
0,-30,0,1.21329
0,-30,10,1.29309
0,-30,20,1.19014
0,-30,30,1.23781
0,-30,40,1.24414
0,-30,50,1.40639
0,-30,60,1.41085
0,-30,70,1.31081
0,-30,80,1.30468
0,-30,90,1.20597
0,-30,100,1.60042
0,-30,110,1.59979
0,-30,120,1.60929
0,-30,130,1.29559
0,-30,140,1.22137
0,-30,150,1.31116
0,-30,160,1.37748
0,-30,170,1.56537
0,-30,180,1.52361
0,-20,-180,1.27516
0,-20,-170,1.31563
0,-20,-160,1.34394
0,-20,-150,1.61784
0,-20,-140,1.48654
0,-20,-130,1.6158
0,-20,-120,1.46275
0,-20,-110,1.45975
0,-20,-100,1.26122
0,-20,-90,1.30116
0,-20,-80,1.6553
0,-20,-70,1.79397
0,-20,-60,1.25436
0,-20,-50,1.16399
0,-20,-40,1.21919
0,-20,-30,1.32799
0,-20,-20,1.33519
0,-20,-10,1.35123
0,-20,0,1.5359
0,-20,10,1.29279
0,-20,20,1.2839
0,-20,30,1.18166
0,-20,40,1.2124
0,-20,50,1.21779
0,-20,60,1.51169
0,-20,70,1.50161
0,-20,80,1.19772
0,-20,90,1.19701
0,-20,100,1.20479
0,-20,110,1.34698
0,-20,120,1.35201
0,-20,130,1.35621
0,-20,140,1.62911
0,-20,150,1.63547
0,-20,160,1.29549
0,-20,170,1.27574
0,-20,180,1.27516
0,-10,-180,1.15891
0,-10,-170,1.36278
0,-10,-160,1.81664
0,-10,-150,1.81992
0,-10,-140,1.43846
0,-10,-130,1.6335
0,-10,-120,1.31465
0,-10,-110,1.31033
0,-10,-100,1.2533
0,-10,-90,1.404
0,-10,-80,1.61509
0,-10,-70,1.53536
0,-10,-60,1.45617
0,-10,-50,1.1341
0,-10,-40,1.13193
0,-10,-30,1.15427
0,-10,-20,1.5843
0,-10,-10,1.59467
0,-10,0,1.47329
0,-10,10,1.23289
0,-10,20,1.3541
0,-10,30,1.1909
0,-10,40,1.12007
0,-10,50,1.3425
0,-10,60,1.40913
0,-10,70,1.49517
0,-10,80,1.27265
0,-10,90,1.13042
0,-10,100,1.28557
0,-10,110,1.2065
0,-10,120,1.36673
0,-10,130,1.35957
0,-10,140,1.62455
0,-10,150,1.63098
0,-10,160,1.33165
0,-10,170,1.17941
0,-10,180,1.15891
0,0,-180,1.57829
0,0,-170,1.44001
0,0,-160,1.59987
0,0,-150,1.54424
0,0,-140,1.28933
0,0,-130,1.43039
0,0,-120,1.42379
0,0,-110,1.41329
0,0,-100,1.3371
0,0,-90,1.25366
0,0,-80,1.36342
0,0,-70,1.43122
0,0,-60,1.3388
0,0,-50,1.31449
0,0,-40,1.24237
0,0,-30,1.32883
0,0,-20,1.16264
0,0,-10,1.581
0,0,0,1.45994
0,0,10,1.14818
0,0,20,1.26802
0,0,30,1.48003
0,0,40,1.25029
0,0,50,1.26122
0,0,60,1.318
0,0,70,1.2606
0,0,80,1.17093
0,0,90,1.26973
0,0,100,1.28981
0,0,110,1.36186
0,0,120,1.36753
0,0,130,1.39242
0,0,140,1.39673
0,0,150,1.47673
0,0,160,1.33002
0,0,170,1.78489
0,0,180,1.57829
0,10,-180,1.58597
0,10,-170,1.94812
0,10,-160,1.27538
0,10,-150,1.21202
0,10,-140,1.36695
0,10,-130,1.47946
0,10,-120,1.31684
0,10,-110,1.53034
0,10,-100,1.428
0,10,-90,1.18536
0,10,-80,1.2821
0,10,-70,1.20624
0,10,-60,1.34375
0,10,-50,1.62356
0,10,-40,1.60124
0,10,-30,1.59303
0,10,-20,1.33295
0,10,-10,1.16949
0,10,0,1.01567
0,10,10,1.14336
0,10,20,1.4572
0,10,30,1.46665
0,10,40,1.33466
0,10,50,1.41155
0,10,60,1.15719
0,10,70,1.20437
0,10,80,1.11202
0,10,90,1.36841
0,10,100,1.66033
0,10,110,1.48695
0,10,120,1.54601
0,10,130,1.23579
0,10,140,1.23702
0,10,150,1.38229
0,10,160,1.51387
0,10,170,1.78975
0,10,180,1.58597
0,20,-180,1.97813
0,20,-170,1.39367
0,20,-160,1.386
0,20,-150,1.27216
0,20,-140,1.26994
0,20,-130,1.16554
0,20,-120,1.54068
0,20,-110,1.52632
0,20,-100,1.2361
0,20,-90,1.23781
0,20,-80,1.45797
0,20,-70,1.36155
0,20,-60,1.36299
0,20,-50,1.36241
0,20,-40,1.60786
0,20,-30,1.59929
0,20,-20,1.70107
0,20,-10,1.03759
0,20,0,1.07509
0,20,10,1.24108
0,20,20,1.19969
0,20,30,1.46424
0,20,40,1.33107
0,20,50,1.33614
0,20,60,1.28278
0,20,70,1.5032
0,20,80,1.26227
0,20,90,1.167
0,20,100,1.67712
0,20,110,1.92779
0,20,120,1.40456
0,20,130,1.33384
0,20,140,1.48151
